	comment_text	likes
1	Logan Paul it's yo big day ‼️‼️‼️	1
2	I've been following you from the start of your vine channel and have seen all 365 vlogs	1
3	Say hi to Kong and maverick for me	1
4	MY FAN . attendance	1
5	trending 😉	1
6	#1 on trending AYYEEEEE	1
7	The end though 😭👍🏻❤️	1
8	#1 trending!!!!!!!!!	1
9	Happy one year vlogaversary	1
10	You and your shit brother may have single handedly ruined YouTube.....thanks...	0
11	There should be a mini Logan Paul too!	0
12	Dear Logan, I really wanna get your Merch but I don't have the money. We don't even have a Car. It would really make my day to have any of your merch	0
13	Honestly Evan is so annoying. Like its not funny watching him try to be famous he's trying way to hard and I don't like it	0
14	Casey is still better then logan	0
15	aw geez rick this guy is the face of YouTube.	0
16	He happy cause he in a movie	0
17	Ayyyyoooo Logang what up .  This was a hard vlog to watch Logan how dare are you to destroyed that YouTube bag . Logang Army check my covers and share them  can Logang help me to hit 1,000 Subscribers today, I think we can do it SUBSCRIBE	1
18	Bro y didnt u give merch to johannes he is ur boy 2	0
19	It's been fun watching you grow. I'm at 42 days straight and can't seem to grow. Any advice?	1
20	Made a lot of people hate youtube - GJ	0
21	NO HONEY NOOO can't believe he has almost 12 mili in a year damnn	0
22	Jake Paul is the fastest growing channel to hit 10 Million and thats a fact and is u dont want to believe that then just dab away	1
23	lol PEWDIEPIE accidentally played song with words nig%%r during his stream, u can watch that part on my channel, i've just uploaded. Like so more ppl could see this	0
24	You should do a prank that you broke  your play puttun	0
25	I love Logan and Jake so much and thay are so amazing and I look up to them so much 😍💋💙👍	1
26	#1 on Trending let's go.	0
27	Evan was being such a dick on this vlog	0
28	if you get allot of diss likes do you get on the top comments? lets see diss like this please	0
29	Evan is a horrible human being he also looks so jealous when you open it like he should be happy for you	0
30	I love you so much I love to meet you But I live in Israel You really inspire me I really like your channel Keep doing what you do\nBecause everyone loves it and will be Unique and Pashan will be creative and I hope you will see it bye	0
31	👈 watch by clicking here you can see people's are entertaining	0
32	I was dying when he threw the midget on the ground at the end LMAO	0
33	Technically it was Logan cos Jake started his channel in 2013	0
34	Logan's 4 life all the way from England	0
35	Gotta love Youtube for giving morons the ability to earn a buck from other morons.	0
36	Evan is being a douch Logans getting pissed, Logan should have went to smash his game system then evan would have cried 😂 & Evans not gonna be able to take care of a pitbull tell his ass no, its gonna kill kong !!!	0
37	Can the Pauls please stop saying they're the fastest growing YouTube channels?! That's PewDiePie's position!! He made managed to get all the subscribers you guys have in 6 MONTHS!!! Why is that so hard to understand?!	1
38	Why is trump trending on YouTube .. oh wait this isn't trump sure looks like him tho	0
39	When I saw this vid at first I was like naaahhhhh to tired but I looked at it again and saw the title and I was like H🔥LLLLLLZZZZ YEEEAAAHHHH and as a anniversary present Logan Paul I'm gonna b u for Halloween to show how much u hav changed ma life and I'm not even joking about it 😂😂😂	0
40	I subscribed today. This was only the second video I've watched and I had no idea it was a year special.	0
41	Jake started YouTube 3 years ago his first vid is 3 years ago so technically Logan hit it first	0
42	The girl with the dog was kylie Jenner 😂	1
43	Not a hater but fuck you	0
44	Where is the other dog	0
45	I go out of my way to dislike every single one your videos	0
46	This looks like a great video, but after you are done would you be kind enough to check out my new YouTube channel and give me some feedback? Maybe even subscribing? :)	0
47	Get the diamond play button appraised	0
48	Ok. So if you would. What editing things do you use for your videos? I'm trying to start but have no idea how to make cool edits.	0
49	why is the thumbnail so threatening	0
50	He talking about how we changed logging Forever on his own channel should be a lot more humbling if somebody else made this video instead of you know Logan Paul make it a video about how Logan Paul change login forever you didn't change shit if anything you just exposed a large audience of five to 10 year olds maybe even freshman in high school that like your videos people that you can hook up with or fuck really sad and it's really pathetic how your entire audience is made up of these people nobody can actually buy or afford anything without asking their parents that's exactly who your audience is	0
51	FUCK THIS DUDE AND HIS BROTHER.	0
52	by the way why do you have a card board of the picture of alya do you like to look at it lol	0
53	Just a tad arrogant with the title, huh?	0
54	Evan is just taking ur money for granted cause he said if his Rolex had fake diamonds he wouldn't be ur friend anymore and he left when u said the diamond was real, but don't keep commenting it's probably a joke cause ik it might be but my opinion is that he's using Logan's money for granted	0
55	Omg he broke his play button box	0
56	Get off of YouTube you spoiled Hollywood brat.	0
57	Attack of titan squad were u at👻❤️😂	0
58	Congrats Logan love u so much someday I would love to meet u #1 fan of the logang ❤️	0
59	Um well not the best Vlog was expecting more but congrats	0
60	Evan lowkey is starting to piss me off!	0
61	tone it down fgt you didn't change youtube	0
62	You all are worms. Congrats for being simple minded.	0
